job_simp,num_comp,avg_salary,Type.of.ownership,job_state,Rating
data scientist,0,72,Company - Private,NM,3.8
data scientist,0,87.5,Other Organization,MD,3.4
data scientist,0,85,Company - Private,FL,4.8
data scientist,3,76.5,Government,WA,3.8
data scientist,3,114.5,Company - Private,NY,2.9
data scientist,3,95,Company - Public,TX,3.4
data scientist,0,73.5,Company - Private,MD,4.1
data scientist,0,114,Company - Private,CA,3.8
data scientist,2,140,Company - Private,NY,4.6
data scientist,0,163.5,Company - Private,CA,3.5
data scientist,0,85,Company - Public,VA,4.1
data scientist,3,139,Company - Public,TX,3.2
analyst,0,65.5,Company - Private,WA,4.1
data scientist,3,113.5,Company - Public,MA,3.7
data engineer,0,146,Subsidiary or Business Segment,NJ,3.6
data scientist,0,153.5,Company - Private,CA,4.3
data scientist,0,142.5,Company - Private,CA,4.2
data scientist,0,87.5,Nonprofit Organization,CO,4
data scientist,3,105.5,Company - Private,WA,3.2
data scientist,0,96,Company - Private,TX,3.9
data scientist,0,112.5,Company - Private,IL,3.8
data scientist,0,84,Nonprofit Organization,KY,4.3
data scientist,3,143,Company - Private,VA,4
data scientist,0,86.5,Company - Public,MA,4
data scientist,0,99.5,Company - Private,OR,3.5
analyst,0,47.5,Company - Public,MA,3.7
data scientist,0,84,Company - Public,CT,4
data scientist,0,85,Company - Private,FL,4.8
data scientist,3,76.5,Government,WA,3.8
data scientist,0,96,Company - Private,MI,3.6
data scientist,0,114.5,Company - Public,MA,3.8
data scientist,0,121,Company - Public,CA,3.8
data scientist,3,112.5,Company - Private,MA,4.7
analyst,0,106,Company - Private,CA,4.2
data scientist,1,107,Company - Private,CA,3.5
data scientist,0,110,Company - Private,MA,4.7
data scientist,0,147.5,Company - Public,CA,3.5
data engineer,0,106,Company - Private,NY,3.5
analyst,3,88,Company - Private,CA,4.2
data engineer,0,98.5,Company - Private,MA,3.6
data scientist,0,142.5,Company - Private,CA,4.2
data scientist,3,130,Company - Public,IL,4.3
data scientist,0,155,Company - Private,DC,5
data scientist,3,184.5,Company - Public,WA,3.7
analyst,0,29.5,Company - Private,CO,3.1
data scientist,3,81,Company - Public,IL,3.7
data scientist,0,91,Subsidiary or Business Segment,FL,3.8
data scientist,3,114.5,Company - Private,MA,3.3
analyst,0,68,Company - Private,AL,4.6
data scientist,3,115,Company - Public,NY,3.7
data scientist,0,109.5,Company - Public,CA,3.7
data scientist,0,75.5,Company - Public,NM,3.5
data scientist,3,154.5,Company - Private,CA,4.1
data scientist,2,143.5,Company - Private,MO,4.7
data scientist,0,73.5,Company - Private,MD,4.1
data scientist,3,95,Company - Public,TX,3.4
data scientist,0,107,Subsidiary or Business Segment,OH,4.4
data scientist,0,115,Company - Private,NY,4.3
data scientist,0,139.5,Company - Public,CA,3.8
data scientist,3,67,Government,WA,3.8
data scientist,3,85,Company - Public,PA,3.8
data scientist,0,118,Company - Private,MA,2.8
data scientist,0,79.5,Company - Private,GA,4.7
data scientist,4,56.5,Company - Public,MA,3.1
data scientist,0,128.5,Company - Private,PA,3.2
director,0,179.5,Company - Public,IL,3.6
data scientist,3,112,Company - Private,VA,3.9
data scientist,3,98,Company - Private,PA,3.1
data scientist,0,128,Company - Public,WA,4
data scientist,0,150.5,Company - Private,CA,4.3
data scientist,0,110,Company - Private,VA,3.3
data scientist,3,113.5,Company - Private,CA,4.4
data scientist,0,124,Company - Private,CA,3.9
analyst,0,56.5,Company - Private,PA,4.7
data scientist,3,130,Nonprofit Organization,MD,4.5
analyst,3,77.5,Company - Private,IL,4.3
data engineer,0,87,Company - Private,VA,4
analyst,0,53.5,Company - Private,WA,4.4
data scientist,3,139,Company - Public,TX,3.2
data scientist,0,114,Company - Private,CA,3.8
data scientist,0,85.5,Company - Private,FL,4.2
analyst,0,48,Company - Private,LA,3.5
data scientist,0,85,Company - Public,GA,3.9
analyst,0,72.5,Company - Private,MD,4.2
data scientist,3,97.5,Nonprofit Organization,VA,3.2
data scientist,3,99,Company - Private,VA,3.9
analyst,3,56.5,Company - Private,WI,3.1
data scientist,0,133,Company - Private,MD,4.1
data scientist,0,121,Company - Private,NY,3.8
data scientist,3,85.5,Company - Private,NY,4.7
data scientist,3,87.5,Subsidiary or Business Segment,TX,4.3
data scientist,3,237.5,Company - Private,DC,4.2
data engineer,3,95.5,Company - Private,NC,3.9
data scientist,0,104.5,Company - Public,MI,3.3
analyst,3,56.5,Company - Private,NJ,4.7
analyst,0,55,Company - Private,AZ,4.3
data scientist,3,157,Company - Private,CA,4.5
data engineer,2,78,Company - Private,NJ,3.4
data scientist,3,113.5,Company - Public,MA,3.7
data scientist,2,140,Company - Private,NY,4.6
data scientist,0,132.5,Company - Private,CA,3.2
data engineer,0,108,Company - Public,CA,4
data scientist,0,80.5,Company - Private,IN,4.6
data scientist,0,107.5,Company - Private,MD,2.8
data engineer,2,95,Company - Private,MN,4.7
data scientist,3,119.5,Nonprofit Organization,CA,3
data engineer,3,134,Company - Private,NC,3.2
data scientist,0,100.5,Company - Private,MA,4.4
data scientist,0,107.5,Company - Public,OH,3.5
data engineer,0,122,Company - Private,DC,4
data engineer,3,92.5,Company - Public,IL,4.3
analyst,0,62,Company - Private,MD,2.3
data scientist,0,107.5,Company - Private,CA,3.6
manager,0,40.5,Company - Private,MO,3.8
data scientist,3,89.5,Company - Public,VA,3.7
data scientist,0,81,Company - Private,IL,4.4
data scientist,3,147,Company - Private,VA,4
data scientist,3,85,Company - Private,TX,3.2
mle,0,100.5,Company - Private,CO,4.3
data scientist,3,97,Company - Private,NY,3.4
data scientist,0,85,Company - Public,VA,4.1
data scientist,0,153.5,Company - Private,CA,4.3
